Step,Description,Command/Action,Visual Indicator
1,Install required dependencies,"npm install swagger-ui-express",Terminal shows successful installation
2,Create necessary directories,"mkdir -p docs",Terminal shows directory creation
3,Ensure MongoDB is running,"brew services start mongodb-community || docker start mongodb",Terminal shows MongoDB service starting
4,Ensure Redis is running,"brew services start redis || docker start redis",Terminal shows Redis service starting
5,Start the application,"npm start",Terminal shows server starting on port 3000
6,Verify API health,Open browser to http://localhost:3000/health,Browser shows JSON with status: ok
7,Check API documentation,Open browser to http://localhost:3000/api-docs,Browser shows Swagger UI documentation
8,Test book search endpoint,curl -X GET "http://localhost:3000/api/books/search?q=javascript",Terminal shows JSON response with book results
9,Monitor application logs,"tail -f logs/app.log",Terminal shows real-time application logs
10,Stop the application when finished,"Press Ctrl+C in the terminal running the server",Terminal shows server stopping
